City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,port hedland,-20.3167,118.5667,32.03,51,67,8.23,AU,1697958674
338,marsa alam,25.0757,34.8918,28.48,53,8,6.04,EG,1697958674
339,cill airne,52.05,-9.5167,6.91,92,67,1.21,IE,1697958675
340,isangel,-19.55,169.2667,22.62,76,89,4.44,VU,1697958675
341,bhimunipatnam,17.8833,83.4333,31.73,55,80,4.99,IN,1697958675
342,ciudad lazaro cardenas,17.9583,-102.2,25.16,89,100,1.64,MX,1697958675
343,la cruz,23.9167,-106.9,26.26,73,100,7.8,MX,1697958675
344,kindu,-2.95,25.95,29.8,56,18,0.73,CD,1697958675
345,codrington,-38.2667,141.9667,12.53,60,100,9.65,AU,1697958676
346,puerto san jose,13.9256,-90.8244,24.49,91,100,3.97,GT,1697958548
347,mount isa,-20.7333,139.5,36.87,7,0,3.09,AU,1697958676
348,altai,46.3722,96.2583,7.11,24,15,3.23,MN,1697958603
349,puerto aysen,-45.4,-72.7,-0.45,99,40,0.5,CL,1697958676
350,sarangani,5.4033,125.4636,29.02,70,4,1.93,PH,1697958677
351,lebu,-37.6167,-73.65,9.07,92,23,5.75,CL,1697958575
352,angaur state,6.906,134.13,28.8,73,54,2.15,PW,1697958677
353,skara,58.3866,13.4384,5.35,94,100,3.13,SE,1697958677
354,kristiansund,63.1115,7.732,6.36,61,20,2.06,NO,1697958677
355,oodweyne,9.4092,45.064,26.22,35,47,1.68,SO,1697958678
356,saint-julien-les-villas,48.2667,4.1,10.98,82,100,3.6,FR,1697958678
357,la grande,45.3246,-118.0877,18.36,47,100,0.73,US,1697958678
358,baikunthpur,23.25,82.55,27.42,34,0,1.83,IN,1697958678
359,santa helena,-2.2311,-45.3,24.5,89,45,1.89,BR,1697958679
360,kandahar,31.0,65.75,25.87,16,0,5.38,AF,1697958679
361,hammond,41.5834,-87.5,9.21,82,100,6.69,US,1697958679
